"access_no","date","address","access"
"25558880","2019/04/01 00:00","第六教学楼[进门]","1"
"18413143","2019/04/01 00:02","第六教学楼[出门]","1"
"11642752","2019/04/01 00:00","飞凤轩[进门]","1"
"24124155","2019/04/01 00:00","第六教学楼[出门]","1"
"18629328","2019/04/01 00:11","飞凤轩[进门]","1"
"22239680","2019/04/01 00:00","飞凤轩[出门]","1"
"18262967","2019/04/01 00:14","飞凤轩[进门]","1"
"10119856","2019/04/01 00:15","第六教学楼[进门]","1"
"22239680","2019/04/01 00:15","飞凤轩[进门]","1"
"24124155","2019/04/01 00:17","第六教学楼[进门]","1"
"8421141","2019/04/01 00:18","第六教学楼[进门]","0"
"9644192","2019/04/01 00:18","第六教学楼[进门]","1"
"137899","2019/04/01 00:20","飞凤轩[出门]","1"
"25421531","2019/04/01 00:39","飞凤轩[进门]","1"
"6310108","2019/04/01 00:45","青鸾苑[进门]","1"
"6310108","2019/04/01 00:45","青鸾苑[出门]","1"
"7423035","2019/04/01 00:47","第六教学楼[进门]","0"
"7423035","2019/04/01 00:47","第六教学楼[进门]","0"
"7423035","2019/04/01 00:47","第六教学楼[进门]","0"
"20314183","2019/04/01 00:47","第六教学楼[进门]","0"
"20314183","2019/04/01 00:47","第六教学楼[进门]","0"
"20314183","2019/04/01 00:49","第六教学楼[进门]","0"
"20314183","2019/04/01 00:49","第六教学楼[进门]","0"
"16740855","2019/04/01 00:49","第六教学楼[进门]","1"
"20314183","2019/04/01 00:49","第六教学楼[进门]","0"
"18262967","2019/04/01 00:49","青鸾苑[进门]","1"
"6310108","2019/04/01 00:50","青鸾苑[进门]","1"
"6310108","2019/04/01 00:53","青鸾苑[出门]","1"
"18413143","2019/04/01 00:57","第六教学楼[进门]","1"
"18153479","2019/04/01 00:00","第六教学楼[进门]","1"
"18262967","2019/04/01 00:00","青鸾苑[出门]","1"
"18262967","2019/04/01 01:04","青鸾苑[进门]","1"
"18262967","2019/04/01 00:00","青鸾苑[出门]","1"
"5851090","2019/04/01 01:36","飞凤轩[进门]","1"
"16401207","2019/04/01 02:18","飞凤轩[出门]","1"
"19536490","2019/04/01 02:23","第六教学楼[出门]","1"
"10411792","2019/04/01 02:46","飞凤轩[进门]","1"
"11926443","2019/04/01 03:05","第六教学楼[进门]","1"
"19536490","2019/04/01 03:13","第六教学楼[进门]","1"
"21140642","2019/04/01 03:40","第六教学楼[进门]","1"
"19220058","2019/04/01 03:56","青鸾苑[进门]","1"
"2009099","2019/04/01 05:51","第六教学楼[出门]","1"
"19753248","2019/04/01 06:16","第六教学楼[出门]","1"
"21844192","2019/04/01 06:19","第七教学楼[进门]","1"
"15158315","2019/04/01 06:19","第六教学楼[出门]","1"
"21403626","2019/04/01 06:20","第六教学楼[出门]","1"
"21355962","2019/04/01 06:22","飞凤轩[出门]","1"
"19435482","2019/04/01 06:24","飞凤轩[出门]","1"
"7641216","2019/04/01 06:24","第六教学楼[出门]","1"
"17705794","2019/04/01 06:24","第六教学楼[出门]","1"
"1326299","2019/04/01 06:25","飞凤轩[出门]","1"
"16920384","2019/04/01 06:27","第七教学楼[进门]","1"
"16920384","2019/04/01 06:27","第七教学楼[进门]","1"
"24010162","2019/04/01 06:27","第六教学楼[进门]","1"
"16864852","2019/04/01 06:27","飞凤轩[出门]","1"
"20531178","2019/04/01 06:28","飞凤轩[出门]","1"
"24010162","2019/04/01 06:28","第六教学楼[出门]","1"
"124859","2019/04/01 06:28","飞凤轩[出门]","1"
"1356470","2019/04/01 06:29","飞凤轩[出门]","1"
"24801595","2019/04/01 06:29","第六教学楼[出门]","1"
"24010162","2019/04/01 06:29","第六教学楼[进门]","1"
"24010162","2019/04/01 06:29","第六教学楼[进门]","1"
"20017930","2019/04/01 06:30","第六教学楼[出门]","1"
"24010162","2019/04/01 06:31","第五教学楼[出门]","1"
"9622315","2019/04/01 06:31","飞凤轩[出门]","1"
"9622315","2019/04/01 06:32","飞凤轩[进门]","1"
"15801451","2019/04/01 06:33","飞凤轩[出门]","1"
"19359866","2019/04/01 06:34","飞凤轩[出门]","1"
"9622315","2019/04/01 06:35","飞凤轩[出门]","1"
"1238278","2019/04/01 06:36","飞凤轩[出门]","1"
"16442340","2019/04/01 06:37","飞凤轩[出门]","1"
"19700234","2019/04/01 06:39","飞凤轩[出门]","1"
"21747610","2019/04/01 06:41","飞凤轩[出门]","1"
"419622","2019/04/01 06:41","飞凤轩[出门]","1"
"17112117","2019/04/01 06:49","飞凤轩[出门]","1"
"5806804","2019/04/01 06:51","飞凤轩[出门]","1"
"21438874","2019/04/01 06:52","飞凤轩[出门]","1"
"6021940","2019/04/01 06:52","飞凤轩[出门]","1"
"20523226","2019/04/01 06:53","飞凤轩[出门]","1"
"19442199","2019/04/01 06:56","第七教学楼[进门]","1"
"15625616","2019/04/01 06:58","飞凤轩[出门]","1"
"22963959","2019/04/01 06:58","第七教学楼[进门]","1"
"562582","2019/04/01 07:00","飞凤轩[出门]","1"
"19755610","2019/04/01 07:01","飞凤轩[出门]","1"
"18801799","2019/04/01 07:02","飞凤轩[出门]","1"
"24212807","2019/04/01 00:00","飞凤轩[出门]","1"
"19358186","2019/04/01 07:06","飞凤轩[出门]","1"
"20717962","2019/04/01 00:00","飞凤轩[出门]","1"
"2721255","2019/04/01 07:09","第七教学楼[进门]","1"
"13916804","2019/04/01 07:09","飞凤轩[出门]","1"
"6817076","2019/04/01 00:00","飞凤轩[出门]","1"
"12358500","2019/04/01 07:11","飞凤轩[出门]","1"
"18262967","2019/04/01 07:13","飞凤轩[出门]","1"
"21529546","2019/04/01 07:14","飞凤轩[出门]","1"
"17617476","2019/04/01 07:14","飞凤轩[出门]","1"
"20922020","2019/04/01 07:14","飞凤轩[出门]","1"
"20835012","2019/04/01 07:15","飞凤轩[出门]","1"
"20161818","2019/04/01 07:17","飞凤轩[出门]","1"
"24006618","2019/04/01 07:17","飞凤轩[出门]","1"
"19226602","2019/04/01 07:18","飞凤轩[出门]","1"
"19502391","2019/04/01 07:19","青鸾苑[出门]","1"
"20801082","2019/04/01 07:19","飞凤轩[出门]","1"
"19413607","2019/04/01 07:19","青鸾苑[出门]","1"
"21245194","2019/04/01 07:19","飞凤轩[出门]","1"
"20022544","2019/04/01 07:20","第七教学楼[进门]","1"
"18262967","2019/04/01 07:20","飞凤轩[进门]","1"
"17902981","2019/04/01 07:21","飞凤轩[出门]","1"
"24860034","2019/04/01 07:21","飞凤轩[进门]","1"
"19001306","2019/04/01 07:23","飞凤轩[出门]","1"
"21009434","2019/04/01 07:23","飞凤轩[出门]","1"
"19439722","2019/04/01 07:23","飞凤轩[出门]","1"
"19440410","2019/04/01 07:25","飞凤轩[出门]","1"
"19325616","2019/04/01 07:25","飞凤轩[出门]","1"
"19359866","2019/04/01 07:26","飞凤轩[进门]","1"
"22639082","2019/04/01 07:26","飞凤轩[出门]","1"
"19617370","2019/04/01 07:26","飞凤轩[出门]","1"
"18542202","2019/04/01 07:27","飞凤轩[出门]","1"
"18426266","2019/04/01 07:27","飞凤轩[出门]","1"
"20922020","2019/04/01 07:28","飞凤轩[出门]","1"
"20620010","2019/04/01 07:28","飞凤轩[出门]","1"
"18112791","2019/04/01 07:28","第七教学楼[进门]","1"
"21118378","2019/04/01 07:28","飞凤轩[出门]","1"
"245047","2019/04/01 07:30","青鸾苑[出门]","1"
"22019866","2019/04/01 07:30","飞凤轩[出门]","1"
"17106069","2019/04/01 07:30","飞凤轩[出门]","1"
"131222","2019/04/01 07:31","飞凤轩[出门]","1"
"20523338","2019/04/01 07:31","飞凤轩[出门]","1"
"15726708","2019/04/01 07:31","飞凤轩[出门]","1"
"16853973","2019/04/01 07:31","飞凤轩[出门]","1"
"20706394","2019/04/01 07:32","飞凤轩[出门]","1"
"22129044","2019/04/01 07:32","第七教学楼[进门]","1"
"24321546","2019/04/01 07:33","飞凤轩[出门]","1"
"20117514","2019/04/01 07:33","飞凤轩[出门]","1"
"21449226","2019/04/01 07:33","飞凤轩[出门]","1"
"21524362","2019/04/01 07:34","飞凤轩[出门]","1"
"19442490","2019/04/01 07:35","飞凤轩[出门]","1"
"9249909","2019/04/01 07:35","飞凤轩[出门]","1"
"17055125","2019/04/01 07:36","飞凤轩[出门]","1"
"1401350","2019/04/01 07:36","飞凤轩[出门]","1"
"8404164","2019/04/01 07:36","青鸾苑[出门]","1"
"19344282","2019/04/01 07:36","飞凤轩[出门]","1"
"19755786","2019/04/01 07:36","飞凤轩[出门]","1"
"633062","2019/04/01 07:37","飞凤轩[出门]","1"
"19442010","2019/04/01 07:38","飞凤轩[出门]","1"
"21524810","2019/04/01 07:38","第六教学楼[出门]","1"
"22218247","2019/04/01 07:39","青鸾苑[出门]","1"
"3108871","2019/04/01 07:42","青鸾苑[出门]","1"
"16645200","2019/04/01 07:44","青鸾苑[出门]","1"
"13749824","2019/04/01 07:45","青鸾苑[出门]","1"
"1746955","2019/04/01 07:46","青鸾苑[出门]","1"
"307878","2019/04/01 07:47","青鸾苑[出门]","1"
"9210324","2019/04/01 07:49","青鸾苑[出门]","1"
"18553194","2019/04/01 07:49","第七教学楼[进门]","1"
"15419940","2019/04/01 07:49","青鸾苑[出门]","1"
"24004775","2019/04/01 07:51","青鸾苑[出门]","1"
"13064327","2019/04/01 07:51","第七教学楼[进门]","1"
"6163748","2019/04/01 07:51","青鸾苑[出门]","1"
"1922466","2019/04/01 07:52","第七教学楼[进门]","1"
"12861007","2019/04/01 07:53","青鸾苑[出门]","0"
"23965239","2019/04/01 07:53","青鸾苑[出门]","1"
"505254","2019/04/01 07:54","青鸾苑[出门]","1"
"15656469","2019/04/01 07:54","青鸾苑[出门]","0"
"15656469","2019/04/01 07:54","青鸾苑[出门]","0"
"11939106","2019/04/01 07:54","青鸾苑[出门]","1"
"18400452","2019/04/01 07:55","青鸾苑[出门]","1"
"22504631","2019/04/01 07:56","青鸾苑[出门]","1"
"3025104","2019/04/01 07:56","第七教学楼[进门]","1"
"21449898","2019/04/01 07:58","第七教学楼[进门]","1"
