card_no,days,day_cost,per_eve,per_morn,per_noon,sum_cost,count,class
181316,29,16.92,8.86,3.08,4.98,490.6,123,0
181317,20,11.23,5.08,0.38,5.78,224.7,41,1
181318,29,12.96,5.36,1.74,5.86,375.9,89,2
181320,29,9.94,3.24,2.47,4.23,288.4,105,2
181321,26,11.01,2.79,1.15,7.07,286.2,108,2
181322,29,10.83,5.16,1.66,4.02,314.2,165,2
181323,26,12.28,3.54,2.57,6.17,319.3,128,2
181325,23,14.0,5.47,1.9,6.62,322.0,95,2
181327,26,21.5,10.88,3.45,7.17,559.1,210,0
182867,28,9.26,3.38,3.15,2.74,259.4,65,2
182869,27,17.58,6.74,2.33,8.51,474.7,128,0
182870,26,14.52,6.87,1.4,6.25,377.6,100,2
182872,24,15.86,6.23,1.88,7.75,380.65,77,2
182873,20,14.16,6.24,0.88,7.04,283.2,61,2
182877,26,15.2,7.67,0.23,7.3,395.3,67,2
182878,26,13.1,5.51,1.68,5.91,340.7,112,2
182881,18,21.16,7.93,5.29,7.94,380.9,77,2
181116,27,14.97,7.13,2.0,5.84,404.2,138,2
181123,19,8.72,3.32,1.58,3.82,165.6,70,1
182496,15,10.17,5.04,0.0,5.13,152.5,42,1
184298,15,12.27,6.07,0.0,6.2,184.1,29,1
182513,24,9.69,2.86,1.58,5.25,232.6,80,2
182527,26,22.45,13.51,3.58,5.37,583.8,106,0
184318,28,27.75,14.28,0.57,12.91,777.1,116,0
184320,17,10.31,2.12,1.55,6.65,175.3,35,1
180609,28,12.27,5.46,1.81,5.0,343.6,150,2
180610,27,10.01,4.24,0.73,5.04,270.4,105,2
180611,24,12.29,3.34,3.08,5.86,294.9,118,2
180612,25,17.02,7.67,2.23,7.12,425.39,125,0
180613,23,14.36,6.9,1.6,5.86,330.3,76,2
180614,28,12.29,4.58,2.86,4.85,344.1,139,2
180615,25,16.18,7.69,2.25,6.23,404.4,104,2
180616,17,5.81,2.08,2.09,1.64,98.8,31,1
181571,27,23.51,13.35,1.68,8.48,634.9,168,0
181574,28,15.4,8.24,0.93,6.23,431.2,97,0
181575,28,13.3,5.23,1.14,6.94,372.5,115,2
180824,22,11.68,2.07,2.57,7.05,257.0,63,2
180826,19,6.84,1.08,2.06,3.7,130.0,38,1
180827,25,13.67,6.06,2.27,5.34,341.7,83,2
180830,17,19.24,12.89,1.39,4.96,327.1,82,2
180831,27,11.57,4.99,1.1,5.48,312.4,67,2
180832,26,15.58,5.29,3.46,6.84,405.2,107,2
180833,26,8.17,3.02,1.5,3.65,212.3,77,1
180835,21,9.79,3.3,2.04,4.45,205.6,52,1
180836,23,9.49,2.3,0.49,6.7,218.2,51,1
182138,26,15.13,6.35,3.07,5.72,393.5,145,2
182139,24,10.78,4.6,2.33,3.85,258.7,105,2
182141,11,18.23,7.32,2.09,8.82,200.5,28,1
182143,19,17.94,8.53,0.97,8.44,340.9,65,2
182145,6,13.12,0.0,0.58,12.53,78.7,9,1
182146,16,8.62,2.56,1.39,4.67,137.9,47,1
182147,15,10.21,1.87,1.57,6.78,153.2,35,1
182148,23,17.63,8.65,0.33,8.66,405.6,85,2
183457,23,16.11,6.83,1.95,7.33,370.6,107,2
183460,22,11.99,6.45,1.61,3.92,263.7,84,2
183461,21,20.05,8.12,1.34,10.6,421.1,98,0
183464,22,17.5,8.15,1.68,7.66,384.9,78,2
183468,23,17.13,9.0,2.03,6.1,394.1,74,2
183469,18,15.88,6.28,1.56,8.04,285.9,63,2
183470,10,20.26,4.45,0.21,15.6,202.6,20,1
183473,24,15.37,6.35,2.84,6.18,368.79,83,2
180578,23,20.55,9.7,4.08,6.77,472.6,106,0
180579,25,13.01,4.28,2.32,6.41,325.2,73,2
180581,27,13.39,4.5,2.81,6.08,361.5,108,2
180584,28,16.43,8.01,1.67,6.75,459.9,105,0
180586,26,8.5,3.37,0.8,4.33,221.0,87,2
180587,29,11.22,4.28,1.55,5.38,325.3,131,2
180588,25,12.21,6.19,1.65,4.37,305.3,92,2
180589,26,13.08,3.63,2.61,6.84,340.19,80,2
180590,26,10.03,3.15,2.01,4.87,260.7,75,2
182142,12,9.38,4.46,0.5,4.42,112.5,19,1
182150,14,10.76,2.29,2.16,6.31,150.6,37,1
182152,10,10.8,2.2,1.4,7.2,108.0,23,1
183885,3,16.8,3.63,1.17,12.0,50.4,10,1
183892,18,12.31,3.98,0.39,7.94,221.5,28,1
183895,20,7.59,1.31,0.0,6.28,151.8,52,1
183898,16,12.97,5.67,1.54,5.75,207.5,33,1
183901,27,15.43,6.51,3.05,5.87,416.7,109,0
183902,24,18.35,7.91,1.77,8.67,440.5,66,0
183907,18,13.9,6.09,1.45,6.36,250.2,47,2
183908,25,14.26,5.13,2.11,7.02,356.5,106,2
183915,16,28.81,15.4,0.16,13.24,460.9,67,0
183917,18,13.73,4.01,2.83,6.9,247.2,52,2
183919,13,19.15,12.88,0.54,5.73,248.9,40,2
183921,24,26.07,3.75,2.6,19.72,625.7,101,0
183922,14,14.33,4.44,1.19,8.7,200.6,32,1
180593,28,15.72,7.63,1.99,6.1,440.2,179,0
180597,26,15.37,7.06,2.67,5.64,399.6,132,2
180598,26,19.35,7.1,1.92,10.33,503.2,115,0
180602,25,12.09,5.66,1.32,5.11,302.16,98,2
181568,26,17.69,9.4,1.48,6.81,459.9,140,0
181569,24,12.11,4.44,2.17,5.5,290.6,55,2
182665,19,16.08,6.96,3.16,5.96,305.6,72,2
183954,25,17.54,6.78,3.1,7.66,438.4,96,0
183957,26,13.74,5.38,3.73,4.62,357.2,78,2
183967,25,19.82,11.22,0.56,8.04,495.4,76,0
183968,21,17.3,6.08,3.1,8.12,363.3,97,2
182893,19,15.84,6.11,6.02,3.72,301.0,61,2
182894,25,9.7,4.06,1.01,4.63,242.6,99,2
