"card_no","sex","major","access_no"
"180001","男","18国际金融","19762330"
"180002","男","18国际金融","20521594"
"180003","男","18国际金融","20513946"
"180004","男","18国际金融","20018058"
"180005","男","18国际金融","20945770"
"180006","男","18国际金融","21527898"
"180007","男","18国际金融","20521386"
"180008","男","18国际金融","20541770"
"180009","女","18国际金融","19607146"
"180010","女","18国际金融","21018938"
"180011","女","18国际金融","20440314"
"180012","女","18国际金融","19517642"
"180013","女","18国际金融","19519258"
"180014","女","18国际金融","20357530"
"180015","女","18国际金融","20617386"
"180016","女","18国际金融","20352810"
"180017","女","18国际金融","19750186"
"180018","女","18国际金融","19853738"
"180019","女","18国际金融","21241322"
"180020","女","18国际金融","19520922"
"180021","女","18国际金融","17608026"
"180022","女","18国际金融","18923114"
"180023","女","18国际金融","20705034"
"180024","女","18国际金融","20027626"
"180025","女","18国际金融","19937674"
"180026","女","18国际金融","20019018"
"180027","女","18国际金融","18348218"
"180028","女","18国际金融","20107898"
"180029","女","18国际金融","21444618"
"180030","女","18国际金融","19423594"
"180031","女","18国际金融","21222746"
"180032","女","18国际金融","18922474"
"180033","女","18国际金融","19748730"
"180034","女","18国际金融","23422538"
"180035","女","18国际金融","19037882"
"180036","女","18国际金融","17009130"
"180037","女","18国际金融","20022538"
"180038","女","18国际金融","19212874"
"180039","女","18国际金融","20104890"
"180040","女","18国际金融","20930186"
"180041","女","18国际金融","19748650"
"180042","女","18国际金融","19757914"
"180043","女","18国际金融","20245642"
"180044","女","18国际金融","21448826"
"180045","女","18国际金融","20017034"
"180046","女","18国际金融","19216810"
"180047","女","18国际金融","20934650"
"180048","女","18国际金融","18914938"
"180049","女","18国际金融","18603210"
"180050","女","18国际金融","21448858"
"180051","女","18国际金融","22301354"
"180052","女","18国际金融","14164250"
"180053","女","18国际金融","20200538"
"180054","女","18国际金融","20744490"
"180055","女","18国际金融","19306090"
"180056","女","18国际金融","19426282"
"180057","女","18国际金融","20762586"
"180058","女","18国际金融","19924794"
"180059","女","18国际金融","19528042"
"180060","女","18国际金融","19062058"
"180061","女","18国际金融","18647194"
"180062","女","18国际金融","21653626"
"180063","女","18国际金融","19362170"
"180064","女","18国际金融","23253370"
"180065","女","18国际金融","20705050"
"180066","女","18国际金融","19760746"
"180067","女","18国际金融","21027594"
"180068","女","18国际金融","21324538"
"180069","女","18国际金融","19562522"
"180070","女","18国际金融","20711866"
"180071","女","18国际金融","20022586"
"180072","男","18会计","20849882"
"180073","男","18会计","18348410"
"180074","男","18会计","19832682"
"180075","男","18会计","18407002"
"180076","男","18会计","19705882"
"180077","男","18会计","19659434"
"180078","男","18会计","19946842"
"180079","男","18会计","19350202"
"180080","男","18会计","20513402"
